dbn,location,postal_code,coordinates
13K412,"300 Willoughby Avenue, Brooklyn NY 11205(40.692015, -73.95818)",11205,"40.692015,-73.95818"
32K545,"1155 Dekalb Avenue, Brooklyn NY 11221(40.694723, -73.929315)",11221,"40.694723,-73.929315"
08X558,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",10461,"40.839775,-73.839583"
29Q283,"143-10 Springfield Boulevard, Springfield Gardens NY 11413(40.66903, -73.757744)",11413,"40.66903,-73.757744"
10X434,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",10458,"40.859466,-73.888625"
09X260,"1363 Fulton Avenue, Bronx NY 10456(40.833884, -73.902794)",10456,"40.833884,-73.902794"
17K745,"600 Kingston Avenue, Brooklyn NY 11203(40.658671, -73.943839)",11203,"40.658671,-73.943839"
28Q167,"91-30 Metropolitan Avenue, Forest Hills NY 11375(40.708431, -73.855543)",11375,"40.708431,-73.855543"
28Q284,"108-35 167th Street, Jamaica NY 11433(40.69691, -73.786403)",11433,"40.69691,-73.786403"
13K265,"101 Park Avenue, Brooklyn NY 11205(40.697177, -73.976104)",11205,"40.697177,-73.976104"
21K620,"25 Brighton 4th Road, Brooklyn NY 11235(40.583263, -73.963764)",11235,"40.583263,-73.963764"
14K685,"250 Hooper Street, Brooklyn NY 11211(40.70554, -73.955741)",11211,"40.70554,-73.955741"
02M282,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",10038,"40.711441,-74.000851"
02M400,"444 West 56th Street, Manhattan NY 10019(40.767848, -73.98861)",10019,"40.767848,-73.98861"
18K569,"5800 Tilden Avenue, Brooklyn NY 11203(40.647728, -73.922212)",11203,"40.647728,-73.922212"
18K563,"5800 Tilden Avenue, Brooklyn NY 11203(40.647728, -73.922212)",11203,"40.647728,-73.922212"
22K535,"1830 Shore Boulevard, Brooklyn NY 11235(40.578356, -73.934449)",11235,"40.578356,-73.934449"
17K543,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",11226,"40.649602,-73.957173"
19K504,"400 Pennsylvania Avenue, Brooklyn NY 11207(40.666868, -73.895122)",11207,"40.666868,-73.895122"
09X297,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",10456,"40.827455,-73.90392"
04M680,"1680 Lexington Avenue, Manhattan NY 10029(40.791966, -73.946879)",10029,"40.791966,-73.946879"
10X439,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",10458,"40.859466,-73.888625"
10X268,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",10468,"40.869061,-73.897066"
17K537,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",11226,"40.649602,-73.957173"
29Q243,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",11411,"40.698786,-73.74633"
10X141,"660 West 237th Street, Bronx NY 10463(40.887407, -73.914141)",10463,"40.887407,-73.914141"
09X568,"1865 Morris Avenue, Bronx NY 10453(40.848552, -73.909022)",10453,"40.848552,-73.909022"
01M539,"111 Columbia Street, Manhattan NY 10002(40.719416, -73.979581)",10002,"40.719416,-73.979581"
03M415,"215 West 114th Street, Manhattan NY 10026(40.80261, -73.954152)",10026,"40.80261,-73.954152"
02M393,"439 West 49th Street, Manhattan NY 10019(40.763655, -73.990318)",10019,"40.763655,-73.990318"
02M605,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",10011,"40.743407,-74.00254"
27Q302,"8-21 Bay 25th Street, Far Rockaway NY 11691(40.601537, -73.763995)",11691,"40.601537,-73.763995"
27Q480,"101-01 Rockaway Boulevard, Ozone Park NY 11417(40.680065, -73.838616)",11417,"40.680065,-73.838616"
25Q425,"63-25 Main Street, Flushing NY 11367(40.737448, -73.823841)",11367,"40.737448,-73.823841"
09X505,"244 East 163rd Street, Bronx NY 10451(40.827461, -73.919024)",10451,"40.827461,-73.919024"
17K531,"600 Kingston Avenue, Brooklyn NY 11203(40.658671, -73.943839)",11203,"40.658671,-73.943839"
28Q350,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",11432,"40.714551,-73.798658"
10X437,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",10458,"40.859466,-73.888625"
10X696,"2925 Goulden Avenue, Bronx NY 10468(40.874725, -73.895543)",10468,"40.874725,-73.895543"
07X548,"730 Concourse Village West, Bronx NY 10451(40.821828, -73.922366)",10451,"40.821828,-73.922366"
07X427,"350 Gerard Avenue, Bronx NY 10451(40.815712, -73.92996)",10451,"40.815712,-73.92996"
12X242,"1551 East 172nd Street, Bronx NY 10472(40.832508, -73.878191)",10472,"40.832508,-73.878191"
27Q262,"100-00 Beach Channel Drive, Rockaway Park NY 11694(40.586012, -73.825317)",11694,"40.586012,-73.825317"
02M551,"10 South Street, Slip 7, Manhattan NY 10004(40.689493, -74.018941)",10004,"40.689493,-74.018941"
17K528,"883 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",11225,"40.669805,-73.960689"
02M298,"100 Hester Street, Manhattan NY 10002(40.716231, -73.993607)",10002,"40.716231,-73.993607"
18K576,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",11236,"40.634451,-73.916927"
07X221,"360 East 145th Street, Bronx NY 10454(40.813612, -73.920851)",10454,"40.813612,-73.920851"
27Q308,"138-30 Lafayette Street, Ozone Park NY 11417(40.670905, -73.845992)",11417,"40.670905,-73.845992"
11X508,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",10469,"40.860443,-73.860729"
10X213,"99 Terrace View Avenue, Bronx NY 10463(40.877379, -73.912686)",10463,"40.877379,-73.912686"
03M307,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",10023,"40.774891,-73.985608"
19K659,"999 Jamaica Avenue, Brooklyn NY 11208(40.693002, -73.869305)",11208,"40.693002,-73.869305"
09X329,"240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",10457,"40.839307,-73.911366"
28Q325,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",11432,"40.714551,-73.798658"
02M308,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",10002,"40.717329,-73.989329"
20K609,"4200 16th Avenue, Brooklyn NY 11204(40.6351, -73.982424)",11204,"40.6351,-73.982424"
09X403,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",10456,"40.827455,-73.90392"
08X293,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",10461,"40.839775,-73.839583"
07X527,"730 Concourse Village West, Bronx NY 10451(40.821828, -73.922366)",10451,"40.821828,-73.922366"
07X334,"345 Brook Avenue, Bronx NY 10454(40.810314, -73.918774)",10454,"40.810314,-73.918774"
02M438,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",10003,"40.735361,-73.987064"
20K505,"5800 20th Avenue, Brooklyn NY 11204(40.621299, -73.982583)",11204,"40.621299,-73.982583"
21K410,"2800 Ocean Parkway, Brooklyn NY 11235(40.582627, -73.968733)",11235,"40.582627,-73.968733"
02M392,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",10011,"40.743407,-74.00254"
